Token: STRING_TYPE, Lexema: string
Token: SEPARATOR, Lexema: ~
Token: ID, Lexema: _f_1
Token: PAREN_OPEN, Lexema: <|
Token: BOOL, Lexema: bool
Token: SEPARATOR, Lexema: ~
Token: ID, Lexema: param1_
Token: PAREN_CLOSE, Lexema: |>
Token: BLOCK_START, Lexema: |:
Token: INT, Lexema: int
Token: SEPARATOR, Lexema: ~
Token: ID, Lexema: var1
Token: END_EXPR, Lexema: !
Token: BLOCK_END, Lexema: :|
Token: EMPTY, Lexema: empty
Token: SEPARATOR, Lexema: ~
Token: MAIN, Lexema: __main__
Token: PAREN_OPEN, Lexema: <|
Token: PAREN_CLOSE, Lexema: |>
Token: BLOCK_START, Lexema: |:
Token: BLOCK_END, Lexema: :|
Token: NOT, Lexema: $
